Brand,Release_year,Screen-size,operating_system,Internal_storage(GB),Battery(mah),RAM,Processor,Price_in_India
Vivo,2018.0,6.41,Android,64.0,3400.0,6144.0,octa-core,24999.0
Vivo,2018.0,6.41,Android,64.0,3400.0,6144.0,octa-core,28990.0
Vivo,2018.0,6.41,Android,64.0,3400.0,6144.0,octa-core,27490.0
Realme,2021.0,6.5,Android,128.0,5000.0,8192.0,octa-core,16990.0
Realme,2021.0,6.5,Android,128.0,5000.0,8192.0,octa-core,19999.0
Realme,2021.0,6.5,Android,128.0,5000.0,8192.0,octa-core,16999.0
Realme,2021.0,6.5,Android,128.0,5000.0,8192.0,octa-core,19999.0
Xiaomi,2018.0,5.99,Android,64.0,4000.0,4096.0,octa-core,11990.0
Xiaomi,2018.0,5.99,Android,64.0,4000.0,4096.0,octa-core,13999.0
Xiaomi,2018.0,5.99,Android,64.0,4000.0,4096.0,octa-core,10999.0
Xiaomi,2018.0,5.99,Android,64.0,4000.0,4096.0,octa-core,13499.0
Xiaomi,2018.0,5.99,Android,64.0,4000.0,4096.0,octa-core,13990.0
Xiaomi,2018.0,5.99,Android,64.0,4000.0,4096.0,octa-core,13999.0
Xiaomi,2018.0,5.84,Android,32.0,4000.0,3072.0,octa-core,10725.0
Xiaomi,2018.0,5.99,Android,64.0,4000.0,4096.0,octa-core,11339.0
Xiaomi,2018.0,5.84,Android,32.0,4000.0,3072.0,octa-core,10549.0
Xiaomi,2018.0,5.84,Android,32.0,4000.0,3072.0,octa-core,9490.0
Xiaomi,2018.0,5.84,Android,32.0,4000.0,3072.0,octa-core,8999.0
Xiaomi,2018.0,5.84,Android,32.0,4000.0,3072.0,octa-core,8990.0
Xiaomi,2018.0,5.84,Android,32.0,4000.0,3072.0,octa-core,8200.0
Xiaomi,2018.0,5.84,Android,32.0,4000.0,3072.0,octa-core,8990.0
Xiaomi,2018.0,5.84,Android,32.0,4000.0,3072.0,octa-core,8499.0
Xiaomi,2018.0,5.99,Android,64.0,4000.0,4096.0,octa-core,6899.0
Xiaomi,2018.0,5.99,Android,64.0,4000.0,4096.0,octa-core,11499.0
Xiaomi,2018.0,5.99,Android,64.0,4000.0,4096.0,octa-core,11499.0
Xiaomi,2018.0,5.84,Android,32.0,4000.0,3072.0,octa-core,10590.0
Xiaomi,2018.0,5.84,Android,32.0,4000.0,3072.0,octa-core,11990.0
Xiaomi,2018.0,5.45,Android,32.0,3000.0,3072.0,octa-core,8999.0
Xiaomi,2018.0,5.45,Android,32.0,3000.0,3072.0,octa-core,9999.0
Xiaomi,2018.0,5.45,Android,32.0,3000.0,3072.0,octa-core,8990.0
Xiaomi,2018.0,5.45,Android,32.0,3000.0,3072.0,octa-core,8900.0
Xiaomi,2018.0,5.45,Android,32.0,3000.0,3072.0,octa-core,8900.0
Xiaomi,2018.0,5.45,Android,32.0,3000.0,3072.0,octa-core,8899.0
Xiaomi,2018.0,5.45,Android,32.0,3000.0,3072.0,octa-core,8299.0
Xiaomi,2018.0,5.45,Android,32.0,3000.0,3072.0,octa-core,7999.0
Realme,2018.0,6.3,Android,64.0,3500.0,4096.0,octa-core,11950.0
Realme,2018.0,6.3,Android,64.0,3500.0,4096.0,octa-core,12600.0
Realme,2019.0,6.3,Android,64.0,4045.0,4096.0,octa-core,15990.0
Realme,2018.0,6.3,Android,64.0,3500.0,4096.0,octa-core,16990.0
Apple,2020.0,4.7,iOS,64.0,4000.0,4096.0,Unknown_Processor,32990.0
Apple,2020.0,4.7,iOS,64.0,4000.0,4096.0,Unknown_Processor,28990.0
Vivo,2016.0,5.5,Android,32.0,3000.0,4096.0,octa-core,20000.0
Apple,2020.0,4.7,iOS,64.0,4000.0,4096.0,Unknown_Processor,28990.0
Realme,2018.0,6.3,Android,64.0,3500.0,4096.0,octa-core,8999.0
Apple,2020.0,4.7,iOS,64.0,4000.0,4096.0,Unknown_Processor,32999.0
Realme,2018.0,6.3,Android,64.0,3500.0,4096.0,octa-core,15800.0
Apple,2020.0,4.7,iOS,64.0,4000.0,4096.0,Unknown_Processor,40076.5
